1,再度更新！被西电老师的善良感动了数电项目和微处理器大作业推迟到一月提交了。虽然jwc不当人，但西电的老师是真的挺好的꒰❤ᐡ❤ෆ͙꒱。至少现在活了一半了。——————为了给这问题涨点热度，顺便让校外人员理解具体情况，我把事情大概都说一下。首先我是西电通院大二的。其他院的暂且不论，只说通院，大二从10月1号开始变魔幻，国庆假当时通知用proteus做个仿真和pcb布线，那个国庆七天假，熬了三天夜在搞这个。我以为这只是偶然，没想到这只是开始。首先是电子线路实验同学遇到问题问某老师被老师阴阳怪气嘲讽，再到微处理器实验完全不按课表来，学生必须在自己有限的时候内自己解决上课和实验处于同一时间的问题，自己找人换课。后来又出现实验课先于理论课导致实验课没一个人做出来，老师自己乱改题目结果自己都不会做的情况。后来，最最最ex的实验，通信电子设计实践开始作妖了，首先是从学期末做完所有实验即可变成了11月26号截止所有实验报告提交，再到在极短的时间内安排一个广和通的项目让我们自己从零开始做，学校只安排了一些不明所以的辅导于是乎通信工程变成了通宵工程，竹园宿舍楼晚上大厅的位置被做广和通的人挤爆了，甚至因为竹园寝室断电，为了调试小组的人半夜12点跑到洗衣房去做（洗衣房不断电）。好不容易搞定了广和通，然后数电fpga的项目全得自学自己做，这其实还好，但搞完广和通，开始做fpga的项目时，考试提前了。而且这还不是一次简单的提前，之前就有传言说考试提前教务处特地发通知说都是谣言，不可能提前的，昨天晚上，多个老师说考试提前，然而数电大项目才做一点，微处理器大作业没动，这周六有英语四六级，下周还有物理实验考试，现在课都没上完然后考试提前到了下周。然后就出现了如下情景————————以下是原回答《除非学校疯了》《不信谣不传谣》
2,啊哈哈哈哈考试来咯唉，这科目都齐了怎么还不复习啊班长，这老师都给辟谣了，不着急复习啊嘿咻咻，今天又是谁要陷害我啊，王课代表是你吗你若是真确定考试，你就现在开始复习啊……好，我复习哎呀，这考试复习多是一件美逝啊。不急不慢，感觉真是好极了。诶这我都复习了大家怎么都不复习啊复习，都给我复习啊！我就是大名鼎鼎的西电高级双料学生，代号穿衫甲我复习了，肯定是得考了，你们不复习，也都别想逃！我卷死你们那·就·来·吧导员老师，宗凯陛下，我滴任务完成啦哈哈哈哈哈！？nnd，给我玩阴的是吧！
3,再更有同学和教务处通电话，有这么一段（大意）学生：您不是说在学生里调研过了吗，那您现在可以在官网发一个调研一下教务处：现在疫情教育部部署都需要进行调研吗？教务处：你们学生有怨言都是学生自己的问题教务处：赶紧去复习更一波空间看到的真的猛士，敢于直面惨淡的人生，敢于正视淋漓的鲜血此后如竟没有炬火，他便是唯一的光建议快热搜
4,不把西电20级当人呗，复习，两个大作业，两次下午上机，总共这些加起来就只有6天。11门考试，上辈子杀人放火这辈子来西电上学
5,前面有人传提前考试了，教务处辟谣。现在谣言要变成现实了，大家慌了，我也慌了。啥都没学。下周考试。寄。
6,领导们的一次会议上上，主持人说：下面请认为提前期末考的同志坐到会场的左边，认为不提前期末考的同志坐到会场右边。大部分人坐到了左边，少数人坐到右边，只有一个人还坐在中间不动。主持人：那位同志，你到底认为提前期末考好还是不提前期末考好？回答：我认为应该偷偷提前期末考，并且不告诉同学们考试安排。主持人慌忙说：那请您赶快坐到主席台上来，亲爱的教务处主任。
7,我是失望透顶，校历早在开学前就已经标清楚了安排，就算前期因为军训取消，那也是从九月一号到十二月，整整三个月你不做安排，偏偏在2021/12/14出具体的安排时间，我想请问贵校教务处之前三个月时间你们在干什么?还有在上周，进行所谓辟谣，同时对部分课程加课。但是这周已经天翻地覆，这就是你电朝令夕改的行政工作?明明知道12月17日大二的课就结了，为什么不提前作为?为什么不提前通知?为什么没有一个人站出来说一句明确的话?全要考学生自己打电话去问，自己去推测?我是否可以理解为这是不作为，庸政懒政。最近几天西安出现了新的新冠患者，这时候你们才开始行动，这是不是侧面说明了你们害怕担责任，我并不能将这理解为所谓为学生考虑。这样的事已经不是第一次发生了。上一次，是因为西安疫情的排队进教学楼事件，绝大多数人都不知道该通知，致使教学延滞，还有在90周年汇演，同学们都付出巨大的时间精力，但是，疫情已经发生，却不知道早下决定，直到活动前最多一周才通知，这些都是真实发生的。贵校“全心全意为人民服务”的题词，每一次都是“我为师生办事实”，但是究竟有多少进了同学，老师们的心坎?那么我是否可以推断，学校双一流B类评不上是合理的，我并不能认为在顶尖高校发生这种事是正常的。既然如此，那么贵校同学称贵校为电专也不无道理。余虽好修姱以鞿羁兮，謇朝谇而夕替。累了。
8,说是疫情原因，但北京也有几例，北邮早通知线上考试了（好像又改了，同命相怜啊），你电憋着不让你知道。而且只提前大二的考试，大一大三不影响？只给大二的传染是吧？？四六级，考研，物理实验考试，全堆一起了，教学楼腾的出来吗？到现在也就给个时间，具体考啥？还装死着呢（终于鸽出来了，但院选科目仍没消息）前段时间的辟谣显得苍白无力，哈哈喜事成真了教务处这么多人凑不出一个共享的马是吧摆了摆了学不完了
9,苟命匿了教务处电话录音真的很有意思一个星期前信誓旦旦说不会提前，哪个老师说提前学生可以举报到纪委那去现在说没有提前，只是因为没有军训所以结课就考试。噢，真就官僚作风？玩文字游戏？我不太明白，没有军训你就改校历，有什么通知在明面上说，因为没有军训的提前就不叫提前了吗？还有，跟学生玩文字游戏有意思吗，你代表学校，我是这个学校的学生，我感受到的不是学校为学生着想，而是文字游戏、不守信用、赤裸裸的欺骗。我不理解，为什么不能真诚一点，为什么不能互相体谅，你高高的舒舒服服的坐在你的教务处办公室里，你“理直气壮”说不是提前，为什么不亲自来看看被七八门专业课加实验报告压的喘不过气来的学生们。你们，何不食肉糜？学生不是你们的主体，领导才是是吧？这个学校学生不是最主要的领导才是最主要的是吧？马原告诉我，人民群众是历史的主体，是历史的创造者。学生是让西电得以辉煌的主体，而不是你们教务处领导。如此不真诚的对待学生，没意思，真的没意思。
10,"西电，窝囸泥仙人！TM期末考试延期了不早说老子TM昨天问教导处期末考试延不延期TM那孙子还信誓旦旦保证正常进行，TM你个***西电先说17,18周多上两节课所有人都以为一月份考，结果你TM直接悄无声息地上波大分TM你个***怎么不早说TM红色传统是吧，革命摇篮是吧TM沃日我你仙人TM12月还有四级，还有机考，TM工程概论创业基础形势与政策数值分析概率论一堆乱七八糟的大作业你来给老子写？TM你个***老子***。TM老是犯病是吧TM校园网那么垃圾老子去综合楼买东西都扫不了吗TM你还不知道更新一下。TM老是犯病是吧，6点到7点之间凭什么不能打卡，TM我就不能5点半下课了去操场跑两圈再吃饭？TM非要让老子在大晚上去打卡。TM老是犯病是吧，TM热水断了多少次了，TM暖气迟迟来不了害的老子还得挨冻看EDG比赛，窝囸妮玛！TM老是犯病是吧，TM上次说什么领导要来检查搞得AB楼都得戴口罩才能进去还得一个一个检查，TM你还不早点说TM害的一堆人排了半天队TM队伍都排到了食堂TM红色传统给你脸了？TM红色传统没学到官僚作风倒是学了TM一大堆。TM我们大二的为什么不能排到29号到6号，非得在12月考完？啊？TM31号到6号这七天为什么不能考试？TM***这七天校长想带老师出去公款旅游吃喝完了是吧。TM活该你不是985呵呵呵双一流只不过是遮羞布，被西交大，西工大，西农大三大985压榨地只能掏出所谓的“红色传统”，哈哈哈哈你不过是个211罢了！就这还想跟成电比连西北农业大学都比不过，还有脸搁着宣扬“红色传统”老子TM早知道去新疆大学都不来这破学校！"
11,没事，熬夜冲就完了，冲不过就寄，卷累了，卷不动了
